Time,multizone.PHeater[1],multizone.PHeater[2],AixLib_T_dayzone,AixLib_T_nightzone,AixLib_Heating_Power_W
0.0,2247.13232421875,4539.701171875,291.1499938964844,293.1499938964844,6786.83349609375
600.0,1170.8411865234375,4061.261474609375,291.151123046875,293.150634765625,5232.1026611328125
1200.0,1198.156005859375,4054.88427734375,291.1499328613281,293.14990234375,5253.040283203125
1800.0,1149.7650146484375,3993.638671875,291.1497802734375,293.14996337890625,5143.4036865234375
2400.0,1193.3294677734375,4029.366455078125,291.1506042480469,293.15032958984375,5222.6959228515625
3000.0,1144.530029296875,3913.498046875,291.14886474609375,293.14892578125,5058.028076171875
3600.0,1187.9478759765625,3986.572509765625,291.14984130859375,293.1492004394531,5174.5203857421875
4200.0,1153.7412109375,3921.974609375,291.1499938964844,293.1499938964844,5075.7158203125
4800.0,1149.4072265625,3900.36474609375,291.1499938964844,293.1499938964844,5049.77197265625
5400.0,1145.0767822265625,3878.78857421875,291.1499938964844,293.1499938964844,5023.8653564453125
6000.0,1140.8038330078125,3857.74609375,291.1499938964844,293.1499938964844,4998.5499267578125
6600.0,1136.556884765625,3836.946533203125,291.1499938964844,293.1499938964844,4973.50341796875
7200.0,1132.336181640625,3816.3896484375,291.1499938964844,293.1499938964844,4948.725830078125
7800.0,1128.3544921875,3796.628173828125,291.1499938964844,293.1499938964844,4924.982666015625
8400.0,1124.5374755859375,3777.356689453125,291.1499938964844,293.1499938964844,4901.8941650390625
9000.0,1120.7384033203125,3758.43408203125,291.1499938964844,293.1499938964844,4879.1724853515625
9600.0,1116.95166015625,3739.746826171875,291.1499938964844,293.1499938964844,4856.698486328125
10200.0,1112.853515625,3721.13330078125,291.1499938964844,293.1499938964844,4833.98681640625
10800.0,1108.65283203125,3702.54443359375,291.1499938964844,293.1499938964844,4811.197265625
11400.0,1104.2496337890625,3683.975341796875,291.1499938964844,293.1499938964844,4788.2249755859375
12000.0,1100.0428466796875,3666.0634765625,291.1499938964844,293.1499938964844,4766.1063232421875
12600.0,1095.9189453125,3648.411376953125,291.1499938964844,293.1499938964844,4744.330322265625
13200.0,1091.871337890625,3631.182373046875,291.1499938964844,293.1499938964844,4723.0537109375
13800.0,1087.85546875,3614.129638671875,291.1499938964844,293.1499938964844,4701.985107421875
14400.0,1083.677734375,3597.125,291.1499938964844,293.1499938964844,4680.802734375
15000.0,1079.498779296875,3580.325439453125,291.1499938964844,293.1499938964844,4659.82421875
15600.0,1075.125732421875,3563.74853515625,291.1499938964844,293.1499938964844,4638.874267578125
16200.0,1070.7120361328125,3547.439208984375,291.1499938964844,293.1499938964844,4618.1512451171875
16800.0,1066.2982177734375,3531.1298828125,291.1499938964844,293.1499938964844,4597.4281005859375
17400.0,1062.0374755859375,3515.142333984375,291.1499938964844,293.1499938964844,4577.1798095703125
18000.0,1058.2294921875,3500.106689453125,291.1499938964844,293.1499938964844,4558.336181640625
18600.0,1054.2952880859375,3484.939453125,291.1499938964844,293.1499938964844,4539.2347412109375
19200.0,1050.745849609375,3470.439453125,291.1499938964844,293.1499938964844,4521.185302734375
19800.0,1047.1964111328125,3455.939453125,291.1499938964844,293.1499938964844,4503.1358642578125
20400.0,1043.6295166015625,3441.7568359375,291.1499938964844,293.1499938964844,4485.3863525390625
21000.0,1040.05126953125,3427.78076171875,291.1499938964844,293.1499938964844,4467.83203125
21600.0,1036.472900390625,3413.804443359375,291.1499938964844,293.1499938964844,4450.27734375
22200.0,583.0415649414062,2625.178955078125,290.81671142578125,292.4834289550781,3208.2205200195312
22800.0,241.09326171875,2057.956787109375,290.4833984375,291.8167724609375,2299.050048828125
23400.0,0.0,1494.380859375,290.1813659667969,291.15008544921875,1494.380859375
24000.0,0.0,941.9898681640625,290.1378173828125,290.4834289550781,941.9898681640625
24600.0,0.0,394.9569396972656,290.1315612792969,289.8167724609375,394.9569396972656
25200.0,0.0,0.0,290.1260070800781,289.2011413574219,0.0
25800.0,0.0,84.37277221679688,290.0411071777344,289.1499938964844,84.37277221679688
26400.0,0.0,100.23321533203125,289.92510986328125,289.1499938964844,100.23321533203125
27000.0,0.0,115.64801788330078,289.8031921386719,289.1499938964844,115.64801788330078
27600.0,0.0,130.40467834472656,289.6797180175781,289.1499938964844,130.40467834472656
28200.0,0.0,144.1479034423828,289.5550537109375,289.1499938964844,144.1479034423828
28800.0,0.0,156.92239379882812,289.4299011230469,289.1499938964844,156.92239379882812
29400.0,0.0,167.49827575683594,289.38250732421875,289.1499938964844,167.49827575683594
30000.0,0.0,172.92845153808594,289.3702392578125,289.1499938964844,172.92845153808594
30600.0,0.0,173.6560516357422,289.3648376464844,289.1499938964844,173.6560516357422
31200.0,0.0,169.8800811767578,289.36334228515625,289.1499938964844,169.8800811767578
31800.0,0.0,164.4586944580078,289.3639221191406,289.1499938964844,164.4586944580078
32400.0,0.0,159.5098876953125,289.3653869628906,289.1499938964844,159.5098876953125
33000.0,0.0,167.42562866210938,289.3574523925781,289.1499938964844,167.42562866210938
33600.0,0.0,172.6639862060547,289.34869384765625,289.1499938964844,172.6639862060547
34200.0,0.0,177.4048309326172,289.3402404785156,289.1499938964844,177.4048309326172
34800.0,0.0,182.08285522460938,289.3318176269531,289.1499938964844,182.08285522460938
35400.0,0.0,186.7675018310547,289.3232727050781,289.1499938964844,186.7675018310547
36000.0,0.0,191.45216369628906,289.3147277832031,289.1499938964844,191.45216369628906
36600.0,0.0,195.8184051513672,289.3061828613281,289.1499938964844,195.8184051513672
37200.0,0.0,197.8736572265625,289.2995910644531,289.1499938964844,197.8736572265625
